Disease name,Disease OMIM,Gene name,Gene OMIM,Locus,Distance from regulated gene,Literature,Type,ClinVar,Coodinates (hg38) 
Peters' anomaly,604229,TGFB2,190220,1q41,500 kpz 5',David et al. 2003,translocation of cis regulatory element,,
Campomelic dysplasia ,114290,SOX9,608160,17q24.3,900 kpz 5'; 1300 kpz 3',"Leipoldt et al. 2007;
Velagaleti et al. 2005",translocation of cis regulatory element,,
Preaxial polydactyly PPD2,261800,SOX9,608160,17q24.3,1230 kpz 5',"Benko et al. 2009;
Jakobsen et al. 2007",translocation of cis regulatory element,,
Pelizaeus–Merzbacher disease,312080,PLP1,300401,Xq22.2,70 kpz 5',Muncke et al. 2004,translocation of cis regulatory element,,
Potocki-Shaffer syndrome ,601224,ALX4; EXT2,605420; 608201,11p11.2,>15 kpz 3',Wakui et al. 2005,translocation of cis regulatory element,,
Cleft palate,N/A,SATB2,608148,2q33.1,130 kpz 3',FitzPatrick et al. 2003,translocation of cis regulatory element,,
Townes–Brocks syndrome,107480,SALL1,602218,16q12.1,>180 kpz 5',Marlin et al. 1999,translocation of cis regulatory element,,
Holoprosencephaly type 2 (HPE2),157170,SIX3,603714,2p21,< 200 kpz 5',Wallis et al. 1999,translocation of cis regulatory element,,
Cleidocranial dysostosis/dysplasia,119600,RUNX2,600211,6p21.1,700 kpz 5',Fernandez et al. 2005,translocation of cis regulatory element,,
Autism,209850,REEP3,609348,10q21.3,43 kpz 5',Castermans et al. 2007,translocation of cis regulatory element,,
X- linked recessive hypoparathyroidism,307700,SOX3,313430,Xq27.1,67 kpz 3',Bowl et al. 2005,translocation of cis regulatory element,,
Holoprosencephaly type 3 (HPE3),142945,SHH,600725,7q36.3,265 kpz 5',Roessler et al. 1997; Fernandez et al. 2005,translocation of cis regulatory element,,
Limb defects,N/A,HOXD13-1,142989; 142987,2q31.1,60 kpz 3'; 390 kpz 5'; 590 kpz 3'; 1050 kpz 3',"Spitz et al. 2002;
Dlugaszewska et al. 2006",translocation of cis regulatory element,,
Deafness; craniofacial defects,N/A,DLX6; DLX5,600030; 600028,7q21.3,65 kpz; 80 kpz 5',Brown et al. 2010,translocation of cis regulatory element,,
Preaxial polydactyly PPD2,174500,SHH,600725,7q36.3,1000 kpz 5',Lettice et al. 2002,translocation of cis regulatory element,,
Lactose intolerance,223000,LCT,603202,2q21.3,14 kpz 5',Enattah et al. 2002,mutation in the region of regulatory elements,,
Cleft lip,608864,IRF6,607199,1q32.2,14.5 kpz 5',Rahimov et al. 2008,mutation in the region of regulatory elements,,
Pierre Robin sequence,261800,SOX9,608160,17q24.3,1441 kpz 5',Benko et al. 2009,mutation in the region of regulatory elements,,
Holoprosencephaly type 3 (HPE3),142945,SHH,600725,7q36.3,460 kpz 5',Jeong et al. 2008,mutation in the region of regulatory elements,,
Preaxial polydactyly PPD2,174500,SHH,600725,7q36.3,980 kpz 3',Lettice et al. 2012,mutation in the region of regulatory elements,,
Aniridia,106210,PAX6,607108,11p13,150 kpz 3',Bhatia et al. 2013,mutation in the region of regulatory elements,,
Pancreatic agenesis type 2,615935,PTF1A,607194,10p12.2,25 kpz 3',Weedon et al. 2014,mutation in the region of regulatory elements,,
Autism,209850,DLX6; DLX5,600030; 600028,7q21.3,13/6 kpz 3',Poitras et al. 2010,mutation in the region of regulatory elements,,
Cleft lip,N/A,FGFR2,176943,10q26.13,254.6 kpz 3',Leslie et al. 2015,mutation in the region of regulatory elements,,
α-talasemia,604131,HBA1; HBA2,141800; 141850,16p13.3,18 kpz 3',Tufarelli et al. 2003,gene silencing by interference of abnormal transcripts of a neighboring gene,,
Lynch syndrome,120435,MSH2,609309,2p21p16,15 kpz 5',Ligtenberg et al. 2009,gene silencing by interference of abnormal transcripts of a neighboring gene,,
α-talasemia,604131,HBA1; HBA2,141800; 141850,16p13.3,14 kpz 5',de Gobbi et al. 2006,new promoter interference,,
Facioscapulohumeral muscular dystrophy,158900,DUX4,606009,4q35.2,N/A,"Wijmenga   i   wsp.   1992; van    Deutekom    i    wsp. 1993;    Ottaviani    i    wsp.
2009; Snider et al. 2009",epigenetic mechanism,,
Preaxial polydactyly PPD2,174500,SHH,600725,7q36.3,1000 kpz 5',Klopocki    i    wsp.    2008; Sun M et al. 2008,duplication of a regulatory element/region,,
46;XY sex reversal,278850,SOX9,608160,17q24.3,516-584 kpz 5',"Kim      i      wsp.      2015;
Hyon et al. 2015",duplication of a regulatory element/region,,
Spastic paraplegia type 2 associated with axonal neuropathy,312920,PLP1,300401,Xq22.2,136 kpz 3',Lee et al. 2006,duplication of a regulatory element/region,,
"Craniosynostosis, Philadelphia type (Syndactyly, type 1, with or without craniosynostosis)",185900,IHH,600726,2q35,6 kpz 5',Klopocki et al. 2011,duplication of a regulatory element/region,,
Cooks syndrome,106995,SOX9,N/A,17q24.3,> 50 kpz 5',Kurth et al. 2009,duplication of a regulatory element/region,,
Brachydactyly type 2,112600,BMP2,112261,20p12.3,110 kpz 3',"Dathe     i     wsp.     2009;
Su et al. 2011",duplication of a regulatory element/region,,
Triphalangeal thumb- polysyndactyly syndrome; Syndactyly type 4,174500; 186200,SHH,600725,7q36.3,1 Mpz 5',Klopocki et al. 2008,duplication of a regulatory element/region,,
Aromatase excess syndrome,139300,CYP19,107910,15q21.2,17-185 kpz 5',Demura et al. 2007;,promoter or enhancer hijacking of another gene,,
Burkitt lymphoma,113970,MYC,190080,8q24.21,N/A,"Erikson et al. 1983;
Hayday et al. 1984",promoter or enhancer hijacking of another gene,,
